LocID,Year,Trajectory,e0
663,2083,50,95.8958073237667
663,2088,50,97.5409998063842
663,2093,50,97.7010559699587
663,2098,50,98.5947645507686
664,2018,1,84.25
664,2023,1,84.5252208394662
664,2028,1,85.1273110684047
664,2033,1,85.4006568442978
664,2038,1,85.4923721723982
664,2043,1,85.6145058261437
664,2048,1,85.9105696595843
664,2053,1,86.03625621601
664,2058,1,85.3552779265352
664,2063,1,85.2915300819349
664,2068,1,85.7032611329834
664,2073,1,85.7909203558015
664,2078,1,87.0702859395104
664,2083,1,87.877996010067
664,2088,1,88.3273068616316
664,2093,1,89.7642842434876
664,2098,1,91.1042508541922
664,2018,2,84.25
664,2023,2,84.8840210096454
664,2028,2,85.3144478554038
664,2033,2,85.6088002710368
664,2038,2,85.9809410726585
664,2043,2,87.1663011065826
664,2048,2,87.9459263950224
664,2053,2,88.5586350494785
664,2058,2,89.4785020571288
664,2063,2,89.6916753180115
664,2068,2,90.1670645772017
664,2073,2,90.02555385615
664,2078,2,90.8531706549857
664,2083,2,91.307960228228
664,2088,2,92.3245858462016
664,2093,2,92.7938996201681
664,2098,2,94.6203796324746
664,2018,3,84.25
664,2023,3,85.0296360889769
664,2028,3,86.3888539650418
664,2033,3,87.417906714717
664,2038,3,87.7628818346021
664,2043,3,89.0819425443352
664,2048,3,90.3433815125937
664,2053,3,91.5038832081061
664,2058,3,92.5149002145242
664,2063,3,93.7412882042342
664,2068,3,94.6310735982183
664,2073,3,94.309034419941
664,2078,3,93.9581598600529
664,2083,3,94.8181590658327
664,2088,3,95.8488482257727
664,2093,3,97.1495829356513
664,2098,3,97.7244114132329
664,2018,4,84.25
664,2023,4,85.6161527116247
664,2028,4,86.0904491357398
664,2033,4,86.8766125654552
664,2038,4,86.3259940219032
664,2043,4,87.6865495542153
664,2048,4,88.3533693686828
664,2053,4,89.5800601795971
664,2058,4,90.2919068094184
664,2063,4,90.3368895289424
664,2068,4,91.0614968168928
664,2073,4,91.6066681355315
664,2078,4,91.927175542716
664,2083,4,92.7175701996743
664,2088,4,93.8486249571907
664,2093,4,93.6126466768875
664,2098,4,94.3942943994849
664,2018,5,84.25
664,2023,5,84.8716226237256
664,2028,5,85.3172459036834
664,2033,5,85.065093008279
664,2038,5,86.5479466076664
664,2043,5,87.7170087353571
664,2048,5,88.1176196242985
664,2053,5,88.9995262258853
664,2058,5,90.0363901558822
664,2063,5,91.1274140899664
664,2068,5,92.0149327038492
664,2073,5,91.8532960944752
664,2078,5,92.9519451372764
664,2083,5,93.297124713322
664,2088,5,94.6833281371936
664,2093,5,95.7965378291016
664,2098,5,96.8003774048369
664,2018,6,84.25
664,2023,6,83.5965081840842
664,2028,6,84.7566137417395
664,2033,6,85.3158543250725
664,2038,6,86.135310001407
664,2043,6,86.7675337173468
664,2048,6,87.1778505395767
664,2053,6,87.3470522458624
664,2058,6,88.3064857623718
664,2063,6,88.8043943887231
664,2068,6,89.0631001877875
664,2073,6,89.5794922504747
664,2078,6,89.8444583956891
664,2083,6,90.6247606807536
664,2088,6,90.7936564718576
664,2093,6,91.5882993106024
664,2098,6,92.6502797869652
664,2018,7,84.25
664,2023,7,84.5741189018257
664,2028,7,85.0538787773745
664,2033,7,86.0492561417518
664,2038,7,86.4448548222752
664,2043,7,87.5454669993292
664,2048,7,87.3630221268515
664,2053,7,87.3922253499042
664,2058,7,87.1978953956591
664,2063,7,87.8931893237759
664,2068,7,88.7195980272353
664,2073,7,89.7703408942238
664,2078,7,89.8777860718215
664,2083,7,90.8222071892109
664,2088,7,91.1509935715472
664,2093,7,91.3143147235466
664,2098,7,91.7776305109844
664,2018,8,84.25
664,2023,8,85.5864738568711
664,2028,8,86.0661891474677
664,2033,8,86.7455743695265
664,2038,8,87.3390926964447
664,2043,8,87.8447613986671
664,2048,8,88.6961218874267
664,2053,8,89.0254473983881
664,2058,8,90.2585559546617
664,2063,8,90.9977933607809
664,2068,8,92.1427589964383
664,2073,8,92.4919996443411
664,2078,8,93.5454910424113
664,2083,8,93.7072788817821
664,2088,8,94.4982741502534
664,2093,8,94.36956330411
664,2098,8,94.5690944878657
664,2018,9,84.25
664,2023,9,84.4457760789739
664,2028,9,84.7035946827758
664,2033,9,85.5153058466242
664,2038,9,85.9745408692968
664,2043,9,86.8851518804335
664,2048,9,87.1040875682663
664,2053,9,87.8536092851102
664,2058,9,88.3891464082884
664,2063,9,89.2086184922286
664,2068,9,89.9158282505268
664,2073,9,90.5056105094719
664,2078,9,90.4211297260204
664,2083,9,91.8805577061274
664,2088,9,92.5880719486658
664,2093,9,93.3703176645836
664,2098,9,93.9641306028392
664,2018,10,84.25
664,2023,10,85.7740138409615
664,2028,10,86.5447680435747
664,2033,10,87.0415747605021
664,2038,10,87.1017660713642
664,2043,10,88.0773911375472
664,2048,10,88.4917188554096
664,2053,10,89.1603780738422
664,2058,10,90.6122087992949
664,2063,10,91.2263198575403
664,2068,10,91.9258705542419
664,2073,10,92.2740990364881
664,2078,10,93.3182166102978
664,2083,10,93.7784901387228
664,2088,10,94.1524208151888
664,2093,10,94.9424106152989
664,2098,10,95.7830991536243
664,2018,11,84.25
664,2023,11,84.8170318372267
664,2028,11,85.2480487120448
664,2033,11,85.608074310599
664,2038,11,86.0443195225986
664,2043,11,86.2926093566332
664,2048,11,86.5793919507693
664,2053,11,86.7634048075795
664,2058,11,87.566612671691
664,2063,11,89.0722502523172
664,2068,11,90.2126735551554
664,2073,11,91.1227666380301
664,2078,11,92.9044574493874
664,2083,11,92.6533567590348
664,2088,11,93.2019265790935
664,2093,11,92.6716472755364
664,2098,11,93.1916410426828
664,2018,12,84.25
664,2023,12,84.9350796667677
664,2028,12,86.3705652340151
664,2033,12,87.8294892059043
664,2038,12,88.8367306857019
664,2043,12,89.1666347149747
664,2048,12,89.5611136256676
664,2053,12,89.4724816900662
664,2058,12,90.7983025110815
664,2063,12,91.4879061312449
664,2068,12,91.8276917393345
664,2073,12,91.0430712049515
664,2078,12,91.8898868178741
664,2083,12,92.010411966893
664,2088,12,92.781761140828
664,2093,12,92.4960116897283
664,2098,12,93.1236488597204
664,2018,13,84.25
664,2023,13,84.422911151217
664,2028,13,84.273807563378
664,2033,13,84.4543970644097
664,2038,13,84.4885370446671
664,2043,13,84.6631351879597
664,2048,13,85.9361760354054
664,2053,13,85.5600097563632
664,2058,13,85.9303457642442
664,2063,13,86.2013637319125
664,2068,13,86.6088408909052
664,2073,13,87.3844503774962
664,2078,13,88.0347953480249
664,2083,13,89.110073562715
664,2088,13,88.5835862269982
664,2093,13,88.9772891072797
664,2098,13,89.7209528865838
664,2018,14,84.25
664,2023,14,84.5785505989156
664,2028,14,84.7058439455664
664,2033,14,84.7611153597627
664,2038,14,86.1430542406945
664,2043,14,86.3210136783547
664,2048,14,87.0392825878007
664,2053,14,88.0410822394004
664,2058,14,88.732322666748
664,2063,14,89.686996040218
664,2068,14,90.4287728809999
664,2073,14,92.0971297578543
664,2078,14,92.601865134837
664,2083,14,91.9398294276367
664,2088,14,92.9938196967029
664,2093,14,93.3515232252313
664,2098,14,94.526395685937
664,2018,15,84.25
664,2023,15,85.8445687164385
664,2028,15,86.2509948502855
664,2033,15,86.7770308600541
664,2038,15,86.4020901132071
664,2043,15,87.9912847787672
664,2048,15,89.2974568699018
664,2053,15,89.2266732323206
664,2058,15,89.44546326252
664,2063,15,89.5137063723607
664,2068,15,89.7117299129923
664,2073,15,91.0621496517111
664,2078,15,91.266452538731
664,2083,15,91.9909188292837
664,2088,15,92.838121221801
664,2093,15,93.1997853552737
664,2098,15,94.0389445683354
664,2018,16,84.25
664,2023,16,84.929752203429
664,2028,16,86.4732610968375
664,2033,16,88.144853795378
664,2038,16,89.2797624529274
664,2043,16,89.7282003881737
664,2048,16,90.1519526384093
664,2053,16,90.9093080684859
