LSOA Code,WIMD 2019 
W01001908,998
W01001909,653
W01001910,350
W01001911,452
W01001912,1131
W01001913,1621
W01001914,1723
W01001915,1872
W01001916,1907
W01001917,920
W01001918,1894
W01001919,1902
W01001920,1874
W01001921,1585
W01001922,897
W01001923,553
W01001924,68
W01001925,908
W01001926,1500
W01001927,903
W01001928,70
W01001929,488
W01001930,1074
W01001931,163
W01001932,952
W01001933,1326
W01001934,1540
W01001935,1449
W01001936,1689
W01001937,1356
W01001938,1105
W01001939,833
W01001940,1691
W01001941,999
W01001942,301
W01001943,1221
W01001944,1707
W01001945,1647
W01001946,414
W01001947,1648
W01001948,1900
W01001949,1511
W01001950,1725
W01001951,1143
W01001952,547
W01001953,1191
W01001954,1839
W01001955,36
W01001956,1885
W01001957,492
W01001958,1034
