LSOA Code,WIMD 2019 
W01000430,1319
W01000431,1122
W01000432,1626
W01000433,1094
W01000434,1047
W01000438,612
W01000439,1432
W01000440,1480
W01000441,1561
W01000442,1097
W01000443,1461
W01000444,1545
W01000445,1358
W01000446,1578
W01000447,1259
W01000448,1161
W01000449,1417
W01000450,1307
W01000451,1288
W01000452,882
W01000453,1263
W01000454,378
W01000455,769
W01000456,701
W01000457,1368
W01000458,1399
W01000459,1027
W01000460,1199
W01000461,888
W01000464,1154
W01000465,1605
W01000466,1532
W01000467,1536
W01000470,1313
W01000471,1010
W01000472,1436
W01000473,1240
W01000474,1241
W01000475,1104
W01000476,1577
W01000477,1098
W01000478,412
W01000479,512
W01000480,379
W01000481,1470
W01000482,1315
W01000483,284
W01000484,1219
W01000485,1380
W01000486,1438
W01000487,1068
W01000488,1304
W01000489,1137
W01000492,1063
W01000493,1687
W01000494,1341
W01000496,847
W01000497,1247
W01000498,292
W01000499,563
W01000500,1093
W01000501,1125
W01000502,1198
W01000503,1264
W01000504,117
W01000505,821
W01000506,1257
W01000507,1213
W01000508,871
W01000509,899
W01000510,370
W01000511,125
W01000512,1546
W01000513,784
W01000515,533
W01000516,594
W01000517,1014
W01000518,1045
W01000519,1115
W01000522,790
W01000523,1214
W01000524,1040
W01000525,1875
W01000527,1360
W01000528,843
W01000529,858
W01000531,891
W01000532,1111
W01000533,755
W01000534,1472
W01000535,714
W01000536,685
W01000537,776
W01000538,1003
W01000539,767
W01000540,981
W01000541,916
W01000542,689
W01000543,802
W01000544,1076
W01000545,1055
W01000546,894
W01000547,1321
W01000548,1266
W01000549,1604
W01000550,765
W01000551,1011
W01000552,1270
W01000553,1079
W01000554,1450
W01000555,1402
W01000556,1258
W01000557,1392
W01000558,1148
W01000559,880
W01000560,1017
W01000561,1180
W01000562,1218
W01000563,848
W01000564,1397
W01000565,989
W01000566,936
W01000567,927
W01000568,424
W01000569,1311
W01000570,71
W01000571,960
W01000572,1205
W01000573,1435
W01000574,982
W01000575,1059
W01000576,928
W01000577,1289
W01000578,1228
W01000579,1185
W01000580,1555
W01000581,1262
W01000582,873
W01000583,1317
W01000584,1136
W01000585,1203
W01000586,549
W01000587,734
W01000588,298
W01000589,684
W01000590,933
W01000591,702
W01000592,254
W01000593,794
W01000594,310
W01000595,1186
W01000596,1523
W01000597,1351
W01000598,1142
W01000599,852
W01000600,148
W01000601,62
W01000602,770
W01000603,746
W01000604,294
W01000605,631
W01000606,85
W01000607,399
W01000608,640
W01000609,1538
W01000610,1400
W01000611,1443
W01000612,1207
W01000613,1031
W01000614,941
W01000615,1452
W01000616,1430
W01000617,738
W01000618,1170
W01000619,1284
W01000620,1056
W01000621,892
W01000622,1414
W01000623,1314
W01000624,1398
W01000625,384
W01000626,434
W01000627,1026
W01000628,1070
W01000629,583
W01000630,810
W01000631,84
W01000632,896
W01000633,443
W01000634,1220
W01000635,1273
W01000636,728
W01000637,614
W01000638,369
W01000639,743
W01000640,1792
W01000641,418
W01000642,1406
W01000643,971
W01000644,1464
W01000645,1256
W01000646,758
W01000647,910
W01000648,943
W01000649,1440
W01000650,793
W01000651,1201
W01000652,528
W01000653,1144
W01000654,478
W01000655,360
W01000656,636
W01000657,557
W01000658,525
W01000659,196
W01000660,236
W01000662,1066
W01000663,1157
W01000664,1077
W01000665,1680
